name,sum,chgk_sum,chgk_1.0,chgk_2.0,chgk_3.0,brain_sum,brain_1,brain_2,brain_3,ek_sum,ek_1,ek_2,ek_3,si_sum,si_1,si_2,si_3
Серобян Эдгар Робертович,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Гаглоев Илья Давидович,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Потёмкин Андрей Андреевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Свирина Анна Александровна,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Борода Илья Владимирович,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Акулов Дмитрий Сергеевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Мишин Денис Андреевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Далецкая Арина Андреевна,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Малышев Арсений Александрович,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Гомон Матвей Александрович,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Савочкин Артём Сергеевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Московченко Михаил Дмитриевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Горя Артемий Юрьевич,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Биканов Филипп Юльевич,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Васильев Илья Юрьевич,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Чеботкова Надежда Сергеевна,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Балабан Александра Владимировна,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Бойко Андрей Андреевич,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Малютин Константин Вадимович,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Берендяев Денис Александрович,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Темников Андрей Владимирович,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Малыныч Александра Владимировна,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Емельянов Станислав Владимирович,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Реут Виктор Александрович,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Дейкун Владислав Дмитриевич,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ермак Александр Дмитриевич,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Романова Екатерина Витальевна,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Воронько Антон Андреевич,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Зепнов Иван Евгеньевич,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
